uniform step differential table: 
254, 268.678, 254, 254, 255, 268.678, 255, 268.415, 270, 269, 271, 269.415, 269.415, 268.678, 269
268.415, 254, 269, 268.415, 268.678, 254, 269.415, 254, 269.415, 255, 269.415, 270, 269.415, 255, 269.415
269.415, 270, 269.415, 269.415, 270.415, 270, 270.415, 270, 284.415, 271, 284.83, 284.299, 284.093, 271, 283.83
269.193, 270, 256, 256, 269.678, 270, 269.678, 269.415, 272, 270.415, 272, 272, 271, 270, 271
255, 269.678, 254.415, 254.415, 256, 269.678, 256, 269, 270.415, 269.678, 271, 270, 269.678, 269.193, 269.415
269.415, 269.415, 269.193, 269.193, 270.415, 269.415, 270.415, 269.415, 284, 270.415, 284.299, 284, 283.678, 270.415, 283.476
283.608, 269.415, 272, 272, 283.83, 269.415, 284.415, 269.415, 284.678, 270.415, 284.678, 285.193, 284.54, 270.415, 284.54
268.678, 254, 269.415, 268.678, 268.83, 254, 269.678, 254, 269.415, 255, 269.415, 270, 269.415, 255, 269.415
268.678, 254, 269.415, 268.678, 268.83, 254, 269.678, 254, 269.415, 255, 269.415, 270, 269.415, 255, 269.415
269, 255, 269.415, 269, 269.415, 255, 270, 255, 270.415, 256, 270.415, 271, 270.415, 256, 270.415
268.678, 255, 269, 268.678, 269.193, 255, 269.678, 255, 270.415, 256, 270.415, 271, 270.415, 256, 270.415
270.415, 269, 256, 256, 270.415, 269, 270.415, 268.678, 272, 269.678, 272, 272, 271, 269.415, 271
255, 268.83, 254.415, 254.415, 256, 268.83, 256, 268.415, 270.415, 269.193, 271, 270, 269.678, 268.83, 269.415
270, 269.415, 269.678, 269.678, 271, 269.415, 271, 269.415, 284.193, 270.415, 284.415, 284.299, 283.912, 270.415, 283.752
271, 269.415, 270.415, 270.415, 272, 269.415, 272, 269.415, 284.415, 270.415, 284.54, 284.678, 284.193, 270.415, 284.093
