uniform step differential table: 
{250.91}, 264.49, {250.64}, {250.96}, 251.61, 264.49, 251.61, 264.03, 266.75, 264.69, 267.36, 266.48, 266.14, 264.9, 265.85
263.8, {250.79}, 263.66, 263.57, 264.23, {250.79}, 264.61, {250.39}, 266.19, 251.19, 265.98, 266.96, 265.98, 251.61, 266.19
266.61, 267.36, 266.3, 266.61, 267.3, 267.36, 267.3, 266.96, 281.57, 267.75, 281.75, 281.68, 281.12, 268.19, 281
265.59, 267.05, 256, 256, 266.24, 267.05, 266.27, 266.57, 272, 267.36, 272, 272, 271, 267.75, 271
251.61, 265.27, 251.3, 251.61, 252.3, 265.27, 252.3, 264.8, 267.41, 265.45, 268, 267.14, 266.79, 265.64, 266.51
266.61, 266.61, 266.27, 266.57, 267.3, 266.61, 267.3, 266.19, 281.18, 267, 281.26, 281.4, 280.77, 267.41, 280.71
279.25, 266.39, 271.99, 271.99, 279.7, 266.39, 280.06, 265.98, 281.77, 266.79, 281.56, 282.51, 281.54, 267.19, 281.75
264.35, 251.19, 264.22, 264.09, 264.75, 251.19, 265.18, {250.79}, 266.61, 251.61, 266.39, 267.36, 266.38, 252, 266.61
264.35, 251.19, 264.22, 264.09, 264.75, 251.19, 265.18, {250.79}, 266.61, 251.61, 266.39, 267.36, 266.38, 252, 266.61
264.48, 251.61, 264.33, 264.27, 264.93, 251.61, 265.29, 251.19, 267, 252, 266.79, 267.75, 266.79, 252.41, 267
264.73, 252, 264.57, 264.55, 265.21, 252, 265.52, 251.61, 267.41, 252.41, 267.19, 268.19, 267.19, 252.83, 267.41
266.33, 265.87, 256, 256, 266.96, 265.87, 267, 265.45, 272, 266.24, 272, 272, 271, 266.64, 271
252.3, 265.46, 251.91, 252.19, 253, 265.46, 253, 265, 268, 265.68, 268.54, 267.75, 267.36, 265.93, 267.09
266.91, 266.39, 266.61, 266.91, 267.61, 266.39, 267.61, 265.98, 281.18, 266.79, 281.19, 281.49, 280.81, 267.19, 280.8
269, 266.61, 268.41, 268.68, 269.68, 266.61, 269.68, 266.19, 281.77, 267, 281.64, 282.33, 281.48, 267.41, 281.59
